Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Iran, Islamic Rep.",IRN,16573631049.5276,23526115003.4898,144748914362.993,124095211144.435,105108486937.96,76420864824.5248,96911018213.4338,110638713089.249,100226854255.155,66634694561.9932,46567697156.4973,82155721445.667
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Iraq,IRQ,13888387096.7742,36613563337.9565,97029493670.1154,93065600000,88949000000,57560660438.6254,46829500000,63496860304.0541,92771934474.7411,88902900000,50188790939.5973,78260500000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ireland,IRL,26973256480.396,94585420135.4433,235594116733.999,247894796542.659,285403238347.452,356246507448.109,363980648236.857,407073567249.361,473625684411.473,510651179174.446,567819518749.7,677696001242.466
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Israel,ISR,17525346195.8139,47074289358.1537,92621172360.8391,98956775008.0201,100187958104.208,94578019810.4713,96485761649.7565,104759044542.617,112607841374.554,117917737508.63,114374660318.635,143915002605.368
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Italy,ITA,215684612152.553,293867282501.648,592262781313.008,613302332503.139,629335664494.076,545774938462.89,550505533785.41,602933211569.648,655895167113.49,635620162864.313,558466165047.005,688582419700.764
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Jamaica,JAM,2207168708.24053,3493068625.14743,4469328381.58509,4361405965.66263,4344149024.87504,4245565949.50149,4478412406.57101,5132360928.22619,6066399475.44647,6021403908.57244,3326741736.11755,4042306381.51974
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Japan,JPN,320186473746.914,519863963884.546,904146988796.653,822722049495.078,852990577902.813,775051882733.212,803489014102.661,867405253150.188,923234601723.625,893782209080.495,784167900504.685,910488958468.817
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Jordan,JOR,2489227060.41886,3538928067.70099,14307042253.5211,14228169014.0845,15524929577.4648,14120563380.2817,13584225352.1127,14300140845.0704,15092676056.338,16170140845.0704,10444366197.1831,13864084507.0423
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kazakhstan,KAZ,..,10353713028.5443,91747467851.4544,91381254223.3838,87108779033.8503,52581510794.9684,43714755377.6011,54041331161.5609,67477064789.7424,66197683954.9227,52229580197.0828,66124956005.7055
